blastcode,burden,optimized_burden,spacing,optimized_spacing,total_explosive_kg,optimized_explosive,total_cost,optimized_cost,predicted_frag_in_range,frag_in_range,predicted_oversize,frag_over_size,predicted_ppv,ppv
18,8.0,8.0,9.0,9.0,16227.0,16227.0,0.0,0.0,0.0,86.0,0.0,11.0,0.0,0.0
36,4.5,4.5,5.0,5.0,22658.14,22658.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,7.0,7.0,10.0,10.0,30659.5,30659.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,6.5,6.5,10.0,10.0,25049.0,25049.0,0.0,0.0,0.0,0.75,0.0,1.4,0.0,0.0
54,8.0,8.0,10.0,10.0,22405.5,22405.5,0.0,0.0,0.0,0.75,0.0,1.4,0.0,0.0
63,8.0,7.6,10.0,10.0,22487.49,21363.1155,2505249.0,2379986.55,18.767,0.75,3.6769999999999987,1.4,0.042699999999999995,0.0
72,8.0,7.6,10.0,10.0,9017.5,8566.625,996750.0,946912.5,4.1613,0.75,0.764,1.4,0.0,0.0
73,8.0,7.6,10.0,10.0,25942.5,24645.375,2879250.0,2735287.5,18.7975,0.7,3.7289999999999988,1.4,0.2227,0.0
84,8.5,8.5,9.0,9.0,12344.5,12344.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,8.0,7.6,9.5,9.5,12204.5,11594.275,1346450.0,1279127.5,13.377000000000002,0.75,1.7600000000000002,1.5,0.1281,0.0
97,8.0,8.0,10.0,10.0,15289.63,15289.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,8.0,8.0,10.0,10.0,11224.5,11224.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,9.0,9.0,9.0,9.0,18937.8,18937.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,8.5,8.5,9.0,9.0,23846.2,23846.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,8.5,8.5,9.0,9.0,12826.4,12826.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,8.0,8.0,10.0,10.0,16898.42,16898.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27
169,8.0,8.0,11.0,11.0,16168.9,16168.9,0.0,0.0,0.0,0.75,0.0,1.4,0.0,0.0
170,8.0,7.6,9.0,9.0,21990.7,20891.165,2445570.0,2323291.5,21.216000000000005,0.75,1.7910000000000001,1.4,0.042699999999999995,0.0
174,8.5,8.5,9.0,9.0,16885.0,16885.0,0.0,0.0,0.0,0.75,0.0,1.4,0.0,0.0
186,8.6,8.6,9.0,9.0,21471.6,21471.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,8.7,8.7,9.0,9.0,8737.5,8737.5,0.0,0.0,0.0,0.7,0.0,1.4,0.0,0.0
196,9.0,9.0,10.0,10.0,8115.75,8115.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,8.0,8.0,9.0,9.0,14026.0,14026.0,0.0,0.0,0.0,0.7,0.0,1.5,0.0,0.0
205,8.0,8.0,9.0,9.0,17284.5,17284.5,0.0,0.0,0.0,0.7,0.0,1.5,0.0,0.0
206,8.0,7.6,9.0,9.0,4860.5,4617.474999999999,542050.0,514947.49999999994,0.912,0.7,0.084,1.5,0.0,0.0
224,8.0,7.6,9.0,9.0,15100.4,14345.38,1673040.0,1589388.0,4.347499999999998,0.7,0.743,2.0,0.042699999999999995,0.0
229,8.0,8.0,9.0,9.0,29458.8,29458.8,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
236,8.35,8.35,9.0,9.0,17175.9,17175.9,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
237,8.96,8.96,10.31,10.31,17786.37,17786.37,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
240,8.75,8.75,8.2,8.2,17789.94,17789.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,9.0,9.0,9.0,9.0,6424.39,6424.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,8.0,8.0,9.0,9.0,15225.3,15225.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,8.0,8.0,9.0,9.0,5212.0,5212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,8.5,8.075,9.0,9.0,9110.04,8654.538,1007004.0000000001,956653.8,5.302299999999999,0.0,0.5509999999999998,0.0,0.0,0.0
250,8.0,8.0,9.0,9.0,10518.9,10518.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,7.5,7.5,8.5,8.5,16269.05,16269.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
