blastcode,minename,pitname,benchname,zonename,blastdate,blasttime,rock_name,rock_density,burden,holedia,spacing,hole_depth,sremming_length,bench_height,face_length,hole_angle,total_rows,hole_blasted,expcode,column_charge_density,avg_column_charge_length,avg_col_weight,base_exp_density,avg_base_exp_length,base_exp_weight,booster_length,production_ton_therotical,prodution_therotical_vol,total_explosive_kg,drill_factor,ton_recover,tot_stem,total_drill_mtr,flyrock,air_blast,ppv,total_exp_cost,blast_accessoriesdelay_cost,drillcostperm,drilling_cost,total_drill,man_power_and_accociated_cost,man_power_cost,actual_pf_(ton/kg),theoretical_pf_(ton/kg),frag_over_size,frag_under_size,frag_in_range
18,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-03-27,15:03:36,SANDSTONE,2.35,8.0,381.0,9.0,17.0,5.99,17.0,0.0,0.0,3.0,18,11,1.15,6.0,900.0,0.0,0.0,0,0.01,50673.6,22032.0,16227.0,165.6,50673.6,107.82,306.0,30.0,0.0,6.71,1256058.0,5306.4,500.0,153000.0,306.0,0.0,0.0,3.12,3.12,11.0,3.0,86.0
36,Gevra,Contractual Patches,LK,Godhara Patch Gem 481,2023-04-22,18:19:36,SANDSTONE,2.35,4.5,165.0,5.0,6.0,3.69,6.0,0.0,0.0,7.0,398,11,1.15,2.3,56.53,0.0,0.0,0,0.01,126265.5,53730.0,22658.14,52.88,0.0,1468.62,2388.0,0.0,0.0,6.71,1476285.6,4775.4,500.0,95000.0,2388.0,0.0,0.0,0.0,5.57,10.0,0.0,80.0
52,Gevra,East Section,LK seam,42 cum shovel CAT and PV,2023-04-29,20:41:59,SANDSTONE,2.35,7.0,381.0,10.0,19.5,8.63,19.0,0.0,0.0,6.0,34,11,1.15,5.85,900.0,0.0,0.0,0,0.01,106267.0,45220.0,30659.5,160.28,106267.0,293.42,663.0,20.0,0.0,6.71,2364144.0,7480.0,500.0,95000.0,663.0,0.0,0.0,3.47,3.47,10.0,0.0,80.0
53,Gevra,East Section,LK seam,42 cum shovel CAT and PV,2023-04-30,13:02:46,SANDSTONE,2.35,6.5,381.0,10.0,19.0,7.41,19.0,0.0,0.0,5.0,28,11,1.15,6.58,892.86,0.0,0.0,0,0.01,81263.0,34580.0,25049.0,152.75,81263.0,207.48,532.0,20.0,0.0,6.71,1931572.0,6160.0,500.0,95000.0,532.0,0.0,0.0,3.24,3.24,1.4,0.1,0.75
54,Gevra,East Section,Between UK and LK (C) (OB),42 cum shovel CAT and PV,2023-05-02,14:37:30,SANDSTONE,2.35,8.0,381.0,10.0,19.0,7.7,20.0,0.0,0.0,3.0,26,11,1.15,6.29,860.0,0.0,0.0,0,0.01,97760.0,41600.0,22405.5,197.89,97760.0,200.2,494.0,0.0,0.0,6.71,1737051.0,2184.0,500.0,95000.0,494.0,0.0,0.0,4.36,4.36,1.4,0.05,0.75
63,Gevra,East Section,Between UK and LK (C) (OB),42 cum shovel CAT and PV,2023-05-05,16:44:37,SANDSTONE,2.35,8.0,381.0,10.0,19.0,13.0,19.0,0.0,0.0,6.0,27,11,1.15,0.0,831.12,0.0,0.0,0,0.0,96444.0,41040.0,22487.49,188.0,96444.0,351.0,513.0,20.0,0.0,6.71,1743936.0,4762.8,500.0,95000.0,513.0,0.0,0.0,4.29,4.29,1.4,0.1,0.75
72,Gevra,East Section,Between UK and LK (C) (OB),42 cum shovel CAT and PV,2023-05-06,14:15:06,SANDSTONE,2.35,8.0,381.0,10.0,19.0,12.12,20.0,0.0,0.0,2.0,10,11,1.15,6.87,900.0,0.0,0.0,0,0.01,37600.0,16000.0,9017.5,197.89,37600.0,121.2,190.0,0.0,0.0,6.71,698836.6,2520.0,500.0,95000.0,190.0,0.0,0.0,4.17,4.17,1.4,0.05,0.75
73,Gevra,East Section,Between UK and LK (C) (OB),42 cum shovel CAT and PV,2023-05-06,14:16:29,SANDSTONE,2.35,8.0,381.0,10.0,19.0,6.4,20.0,0.0,0.0,5.0,30,11,1.15,6.59,863.0,0.0,0.0,0,0.01,107160.0,45600.0,25942.5,188.0,112800.0,192.0,570.0,10.0,0.0,6.71,2011206.0,5292.0,500.0,95000.0,570.0,0.0,0.0,4.35,4.13,1.4,0.05,0.7
84,Gevra,East Section,Between UK and LK (C) (OB),42 cum shovel CAT and PV,2023-05-08,14:33:42,SANDSTONE,2.35,8.5,381.0,9.0,19.0,6.27,20.0,0.0,0.0,4.0,14,11,1.15,6.72,880.0,0.0,0.0,0,0.01,39480.0,16800.0,12344.5,148.42,50337.0,87.78,266.0,20.0,0.0,6.71,956853.2,2469.6,500.0,95000.0,266.0,0.0,0.0,4.08,3.2,10.0,0.0,80.0
92,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-10,14:51:41,SANDSTONE,2.35,8.0,381.0,9.5,18.0,6.35,20.0,0.0,0.0,5.0,14,11,1.15,6.64,870.0,0.0,0.0,0,0.01,50008.0,21280.0,12204.5,198.44,48790.0,88.9,252.0,20.0,0.0,6.71,946094.2,5040.0,500.0,95000.0,252.0,0.0,0.0,4.0,4.1,1.5,0.1,0.75
