Blast No.,Date of Blast,Location of Blast,Hole Dia,Hole Depth,No. Of Holes,Avg Burden,Avg Spacing,Avg Stem Length,Avg Charge Hole,Total Charge,Ton Recover,Powder Factor
MAD415201724142,14/04/2017,Pit 1 Road side East (RE) and RL 380 TO RL 368,115.0,12.0,22,2.5,3.5,3.0,72.02,1584.44,1452.0,0.92
MAD415201743130,15/04/2017,Pit 1 Road side East (RE) and RL 368 TO RL 356,115.0,12.0,12,2.0,3.0,3.0,76.22,914.64,864.0,0.94
MAD417201760830,17/04/2017,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,29,2.0,2.5,2.0,45.78,1327.62,800.0,2.22
MAD419201760117,19/04/2017,Pit 1 Road side East (RE) and RL356 TO RL344,115.0,12.0,5,2.5,3.0,3.0,59.64,298.2,1600.0,5.37
MAD422201710334,21/04/2017,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,20,2.5,3.0,2.0,18.0,360.0,800.0,2.22
MAD4252017115235,24/04/2017,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,21,2.5,3.0,2.0,13.47,282.87,800.0,2.83
MAD427201751420,27/04/2017,Pit 1 Road side East (RE) and RL356 TO RL344,115.0,10.0,34,2.5,3.0,3.0,45.42,1544.28,7000.0,4.53
MAD510201730829,29/04/2017,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,38,2.0,3.0,2.0,12.13,460.94,2500.0,5.42
MAD510201750855,04/05/2017,Pit 1 Road side East (RE) and RL356 TO RL344,115.0,12.0,12,2.5,3.0,3.0,77.08,924.96,2800.0,3.03
MAD510201754030,06/05/2017,Pit 1 Road side East (RE) and RL 380 TO RL 368,115.0,12.0,15,2.5,3.0,3.0,75.0,1125.0,3500.0,3.11
MAD510201755747,09/05/2017,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,40,2.0,3.0,2.0,13.25,530.0,2800.0,5.28
MAD511201741405,11/05/2017,Pit 1 Road side East (RE) and RL390 TO RL380,115.0,8.0,30,2.0,3.0,3.0,37.5,1125.0,4800.0,4.27
MAD512201751740,12/05/2017,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,37,2.0,2.5,2.0,12.84,475.08,3000.0,6.31
MAD516201751020,16/05/2017,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,47,2.0,2.5,2.0,12.77,600.19,3600.0,6.0
MAD525201760210,18/05/2017,Pit 2 Road side West (RW) and RL340 TO RL330,115.0,4.0,51,2.0,2.5,2.0,10.82,551.82,3000.0,5.44
MAD525201765359,20/05/2017,Pit 1 Road side East (RE) and RL356 TO RL344,115.0,10.0,14,2.0,2.5,3.0,45.64,638.96,2800.0,4.38
MAD525201771002,22/05/2017,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,33,2.0,2.5,2.0,10.94,361.02,2000.0,5.54
MAD526201744458,23/05/2017,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,33,2.0,2.5,2.0,16.78,553.74,2500.0,4.51
MAD526201761731,24/05/2017,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,28,2.0,2.5,2.0,9.82,274.96,1500.0,5.46
MAD527201733747,25/05/2017,Pit 2 Road side West (RW) and RL340 TO RL330,115.0,4.0,40,2.0,2.5,2.0,15.0,600.0,2500.0,4.17
MAD5272017103837,26/05/2017,Pit 2 Road side West (RW) and RL 350 TO RL340,115.0,7.0,17,3.0,3.0,2.5,29.25,497.25,2200.0,4.42
MAD527201740741,27/05/2017,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,9.0,12,3.0,3.0,3.0,36.11,433.32,1800.0,4.15
MAD530201745757,29/05/2017,Pit 2 Road side West (RW) and RL340 TO RL330,115.0,4.0,23,2.0,2.5,2.0,8.7,200.1,1500.0,7.5
MAD530201752159,30/05/2017,Pit 2 Road side West (RW) and RL340 TO RL330,115.0,4.0,42,2.0,2.5,2.0,16.68,700.56,3000.0,4.28
MAD61201715416,31/05/2017,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,6.0,24,2.5,3.0,2.5,22.92,550.08,2000.0,3.64
MAD62201765835,01/06/2017,Pit 2 Road side West (RW) and RL340 TO RL330,115.0,4.0,41,2.0,2.5,2.0,7.66,314.06,2400.0,7.64
MAD62201771458,02/06/2017,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,8.0,28,2.0,3.0,2.5,51.65,1446.2,3000.0,2.07
MAD63201741706,03/06/2017,Pit 2 Road side West (RW) and RL340 TO RL330,115.0,4.0,65,2.0,2.5,2.0,11.54,750.1,2200.0,2.93
