Parameter,Standard Practise,Blast (Design 1),Design 2,Design 3
Burden (m),6.9,6.9,6.9,6.9
Spacing (m),7.5,8,8.5,9
Hole Depth (m),15,15,15,15
Sub Drill (m),381,381,381,381
Blast Pattern,Rectangular,Rectangular,Rectangular,Rectangular
Stemming (kg),579.21,615.91,650.128,688.37
Powder Factor (kg/m3),1.18,1.39,1.39,1.39
PPV (mm/s),0.19,1.06,1.07,1.14
Total Volume (m3),16277.63,0.2,0.21,0.22
Drilling & Stemming Length (m),10.3,10.3,16277.63,16277.63
Total Explosives (kg),11702.32,11702.32,10.04,9.75
Cost ($/m3),21,21,11702.32,11702.32
Vibration Control,,19,18,17
