burden,spacing,holedia,hole_depth,sremming_length,bench_height,column_charge_density,rock_density,total_rows,hole_blasted,face_length,powder_factor,column_charge,avg_col_weight,drill_factor,production_ton_theoretical,ppv,total_drill_mtr,fragmentation_p80,theoretical_pf,blast_accessories_cost,drilling_cost,frag_in_range,frag_over_size,flyrock,air_blast,total_exp_cost,total_explosive_kg,burden_to_spacing_ratio,explosive_per_hole,charge_per_volume
8.0,9.0,381.0,17.0,5.99,17.0,1.15,2.35,3.0,18,0.0,3.12,3,900.0,165.6,50673.6,0.0,306.0,374.0,3.12,5306.4,153000.0,86.0,11.0,30.0,0.1,1256058.0,16227.0,0.8888888888888888,901.5,13.257352941176471
4.5,5.0,165.0,6.0,3.69,6.0,1.15,2.35,7.0,398,0.0,0.0,5,56.53,52.88,126265.5,0.0,2388.0,801.0,5.57,4775.4,95000.0,0.0,0.0,0.1,0.1,1476285.6,22658.14,0.9,56.93,167.83807407407406
7.0,10.0,381.0,19.5,8.63,19.0,1.15,2.35,6.0,34,0.0,3.47,3,900.0,160.28,106267.0,0.0,663.0,732.0,3.47,7480.0,95000.0,0.0,0.0,20.0,0.1,2364144.0,30659.5,0.7,901.75,23.052255639097744
6.5,10.0,381.0,19.0,7.41,19.0,1.15,2.35,5.0,28,0.0,3.24,3,892.86,152.75,81263.0,0.0,532.0,853.0,3.24,6160.0,95000.0,0.75,1.4,20.0,0.1,1931572.0,25049.0,0.65,894.6071428571429,20.282591093117407
8.0,10.0,381.0,19.0,7.7,20.0,1.15,2.35,3.0,26,0.0,4.36,3,860.0,197.89,97760.0,0.0,494.0,443.0,4.36,2184.0,95000.0,0.75,1.4,0.1,0.1,1737051.0,22405.5,0.8,861.75,14.0034375
8.0,10.0,381.0,19.0,13.0,19.0,1.15,2.35,6.0,27,0.0,4.29,3,831.12,188.0,96444.0,0.0,513.0,1050.0,4.29,4762.8,95000.0,0.75,1.4,20.0,0.1,1743936.0,22487.49,0.8,832.87,14.794401315789475
8.0,10.0,381.0,19.0,12.12,20.0,1.15,2.35,2.0,10,0.0,4.17,3,900.0,197.89,37600.0,0.0,190.0,498.0,4.17,2520.0,95000.0,0.75,1.4,0.1,0.1,698836.6,9017.5,0.8,901.75,5.6359375
8.0,10.0,381.0,19.0,6.4,20.0,1.15,2.35,5.0,30,0.0,4.35,3,863.0,188.0,107160.0,0.0,570.0,322.0,4.13,5292.0,95000.0,0.7,1.4,10.0,0.1,2011206.0,25942.5,0.8,864.75,16.2140625
8.5,9.0,381.0,19.0,6.27,20.0,1.15,2.35,4.0,14,0.0,4.08,3,880.0,148.42,39480.0,0.0,266.0,801.0,3.2,2469.6,95000.0,0.0,0.0,20.0,0.1,956853.2,12344.5,0.9444444444444444,881.75,8.068300653594772
8.0,9.5,381.0,18.0,6.35,20.0,1.15,2.35,5.0,14,0.0,4.0,3,870.0,198.44,50008.0,0.0,252.0,706.0,4.1,5040.0,95000.0,0.75,1.5,20.0,0.1,946094.2,12204.5,0.8421052631578947,871.75,8.029276315789474
8.0,10.0,381.0,19.0,6.14,20.0,1.15,2.35,3.0,17,0.0,4.18,3,897.64,197.89,63920.0,0.0,323.0,801.0,4.18,5317.2,95000.0,0.0,0.0,20.0,0.1,1184939.0,15289.63,0.8,899.39,9.55601875
8.0,10.0,381.0,19.0,11.99,19.0,1.15,2.35,2.0,14,0.0,4.46,3,800.0,188.0,50008.0,0.0,266.0,801.0,4.46,4775.4,95000.0,0.0,0.0,0.1,0.1,870781.17,11224.5,0.8,801.75,7.38453947368421
9.0,9.0,381.0,19.5,12.5,19.5,1.15,2.35,3.0,21,0.0,4.12,3,900.0,190.35,77948.33,0.0,409.5,801.0,4.12,0.0,95000.0,0.0,0.0,10.0,0.1,1460428.0,18937.8,1.0,901.8,11.98974358974359
8.5,9.0,381.0,19.5,6.47,19.5,1.15,2.35,4.0,28,0.0,4.12,3,850.0,179.78,98157.15,0.0,546.0,801.0,4.12,4838.4,95000.0,0.0,0.0,0.1,0.1,1838762.49,23846.2,0.9444444444444444,851.65,15.985386291268645
8.5,9.0,381.0,18.0,11.87,18.0,1.15,2.35,4.0,16,0.0,4.04,3,800.0,179.78,51775.2,0.0,288.0,801.0,4.04,4132.8,95000.0,0.0,0.0,15.0,0.1,989241.4,12826.4,0.9444444444444444,801.65,9.314742193173565
8.0,10.0,381.0,18.0,6.14,19.0,1.15,2.35,2.0,22,0.0,4.24,3,766.36,198.44,78584.0,4.27,396.0,1160.0,4.65,3880.8,95000.0,0.0,0.0,20.0,96.0,1311495.0,16898.42,0.8,768.1099999999999,11.117381578947366
8.0,11.0,381.0,15.5,6.0,19.0,1.15,2.35,2.0,22,0.0,4.36,3,733.2,253.5,86442.4,0.0,341.0,1030.0,5.35,3880.8,95000.0,0.75,1.4,20.0,0.1,1255432.0,16168.9,0.7272727272727273,734.9499999999999,9.670394736842105
8.0,9.0,381.0,17.0,5.22,19.0,1.15,2.35,3.0,29,0.0,3.81,3,756.55,189.11,93229.2,0.0,493.0,1910.0,4.24,15735.6,95000.0,0.75,1.4,10.0,0.1,1706926.0,21990.7,0.8888888888888888,758.3000000000001,16.075073099415206
8.5,9.0,381.0,19.0,6.56,19.0,1.15,2.35,2.0,20,0.0,4.05,3,842.5,179.78,68314.5,0.0,380.0,2620.0,4.05,24768.0,95000.0,0.75,1.4,20.0,0.1,1309296.0,16885.0,0.9444444444444444,844.25,11.616787065703475
8.6,9.0,381.0,19.0,6.18,20.0,1.15,2.35,4.0,24,0.0,3.79,3,892.9,191.46,87307.2,0.0,456.0,2320.0,4.07,32553.6,95000.0,0.0,0.0,0.1,0.1,1664113.0,21471.6,0.9555555555555555,894.65,13.870542635658916
8.7,9.0,381.0,18.0,5.34,19.0,1.15,2.35,3.0,10,0.0,4.0,3,872.0,194.23,34960.95,0.0,180.0,948.0,4.0,12560.4,95000.0,0.7,1.4,20.0,0.1,677318.6,8737.5,0.9666666666666666,873.75,5.873159911272434
9.0,10.0,381.0,19.0,8.03,20.0,1.15,2.35,4.0,9,0.0,4.49,3,900.0,222.63,38070.0,0.0,171.0,1210.0,4.69,10437.6,95000.0,0.0,0.0,0.1,0.1,628952.9,8115.75,0.9,901.75,4.50875
8.0,9.0,381.0,16.0,4.65,17.0,1.15,2.35,4.0,20,0.0,3.87,3,700.0,179.78,57528.0,0.0,320.0,1010.0,4.1,17688.0,95000.0,0.7,1.5,20.0,0.1,1086577.0,14026.0,0.8888888888888888,701.3,11.459150326797385
8.0,9.0,381.0,17.0,11.0,17.0,1.15,2.35,5.0,23,0.0,3.83,3,750.0,169.2,66157.2,0.0,391.0,1210.0,3.83,22110.0,95000.0,0.7,1.5,20.0,0.1,1332930.27,17284.5,0.8888888888888888,751.5,14.121323529411764
8.0,9.0,381.0,16.0,4.65,16.0,1.15,2.35,2.0,7,0.0,3.9,3,692.86,169.2,18950.4,0.0,112.0,1180.0,3.9,12031.2,95000.0,0.7,1.5,20.0,0.1,374934.4,4860.5,0.8888888888888888,694.3571428571429,4.219184027777778
