,frag_in_range,frag_over_size,flyrock,air_blast,total_exp_cost,total_explosive_kg
burden,-0.25443516475325334,-0.12247058250770507,-0.0027859593970810154,0.06739298172083649,0.08998912354145513,0.10890579179665788
spacing,-0.16991743932669287,0.07137567631989954,-0.18148564294740205,-0.23801550005378658,0.1428387970397652,0.08677223629802844
hole_depth,-0.3117824867151176,-0.28421948870698877,0.2734691881395219,0.054183683635829004,0.27143443478010687,0.12231282622558055
sremming_length,0.26510951120987186,0.1920074541761447,-0.1452335491188382,-0.22488647578273122,-0.008090654227437315,-0.02102246566615937
bench_height,-0.45071532153739896,-0.13202426614925136,0.19331247252230654,-0.12422662777161535,0.26541176656747917,0.30885812011388525
column_charge_density,0.24250873951463114,-0.02170465565467026,0.005314684133324501,0.17492026474934388,0.05709112062934503,-0.18725516208119536
rock_density,0.1307288894353291,0.2818234753216023,-0.5298061404977362,-0.20925392259141912,0.19286981725602564,0.08718354291900306
total_rows,0.397723812504458,0.5427770000401975,-0.08219751552841656,-0.5288962119852649,0.4486709407344649,0.5859931499186563
hole_blasted,0.14467428084755413,0.6442021997833376,-0.22158653120810015,-0.7395725337291926,0.4523469894721501,0.705291334522195
face_length,-0.05448463870034014,0.26914503882560037,-0.013217280650572453,-0.2893705719562847,0.5858470922629498,0.5693025887528649
powder_factor,-0.3275718765155906,-0.4353637683842924,0.16167152837833118,0.3090072670215347,-0.020294413936911504,-0.12594454063126193
column_charge,-0.24250873951463145,0.021704655654669686,-0.005314684133324101,-0.17492026474934316,-0.05709112062934568,0.18725516208119478
avg_col_weight,-0.3012117696494579,-0.2949286982720993,0.23689701096723742,0.052666506955239625,0.22041434856516734,0.06681813036250692
drill_factor,0.25758928354030347,0.053246716217916046,-0.14622749560793596,-0.07443613290792361,0.2581505125785651,-0.07084199631774313
production_ton_theoretical,0.1714335789461069,0.5315089697311098,-0.16235905552375185,-0.6290646237261489,0.8035059272202725,0.8044842586241105
ppv,0.262856596453741,0.6698624142046845,-0.12361879244732144,-0.7417013506843668,0.7444926130407802,0.7963766319048866
total_drill_mtr,0.2791274998524368,0.6719894029807307,-0.19212715718376183,-0.7114393446252885,0.7873566059310706,0.8412044422681841
fragmentation_p80,-0.17199541373066207,0.19045463554197456,-0.26853253647310193,-0.20589423146241934,-0.029988630353406206,0.16980619697890467
theoretical_pf,-0.07133186912593235,-0.09420844053705726,-0.15990264862838693,0.01469997671174118,-0.03165847942315696,-0.10784691718989836
blast_accessories_cost,0.2904141316202988,0.8007238396458168,-0.31273433703111464,-0.7592659174198914,0.39236487000429465,0.6131884587881649
drilling_cost,0.1260193837616448,0.4215965626687749,-0.028193297843178294,-0.4129753265097084,0.6269849508484532,0.708970940344337
burden_to_spacing_ratio,0.02126943719357762,-0.05561170135185256,0.07255073578746091,0.19987384830692118,0.008867392278917311,0.04414168228547916
explosive_per_hole,0.19418398757212815,0.09509855672677904,-0.09119737063587831,0.10587120269347633,0.10073647301355422,0.014338583603219957
charge_per_volume,0.395727911623372,0.5887318408348324,-0.24091469504295146,-0.4594791955727632,0.5024771085286275,0.5575446751595197
